time	clients lost	clients arrive	clients departed	clients in queue	next arrival	next leave	next departure	clients patience	client arrival
1.3348947844114716	8.0	16.0	1.0	7.0	1.426054222733153	1.3473015747191637	1.39855155213424	(1.3473015747191637, 1.537768463777546, 1.6503481422691073, 1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476)	(1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.3473015747191637	9.0	16.0	1.0	6.0	1.426054222733153	1.537768463777546	2.20212412032927	(1.537768463777546, 1.6503481422691073, 1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476)	(1.4852643489258968, 1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.426054222733153	9.0	17.0	1.0	7.0	1.4852643489258968	1.537768463777546	2.20212412032927	(1.537768463777546, 1.6503481422691073, 1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426)	(1.594847902772934, 1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.4852643489258968	9.0	18.0	1.0	8.0	1.594847902772934	1.537768463777546	2.20212412032927	(1.537768463777546, 1.6503481422691073, 1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426, 1.7617810972492025)	(1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.537768463777546	10.0	18.0	1.0	7.0	1.594847902772934	1.6503481422691073	1.9590281504183769	(1.6503481422691073, 1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426, 1.7617810972492025)	(1.639363556226853, 1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.594847902772934	10.0	19.0	1.0	8.0	1.639363556226853	1.6503481422691073	1.9590281504183769	(1.6503481422691073, 1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426, 1.7617810972492025, 2.0701154535996564)	(1.700196482341518, 1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.639363556226853	10.0	20.0	1.0	9.0	1.700196482341518	1.6503481422691073	1.9590281504183769	(1.6503481422691073, 1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426, 1.7617810972492025, 2.0701154535996564, 2.5304940106225824)	(1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.6503481422691073	11.0	20.0	1.0	8.0	1.700196482341518	1.6715167643800235	2.3371973193219735	(1.8260198191216417, 1.6715167643800235, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426, 1.7617810972492025, 2.0701154535996564, 2.5304940106225824)	(1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.6715167643800235	12.0	20.0	1.0	7.0	1.700196482341518	1.7617810972492025	2.3371973193219735	(1.8260198191216417, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426, 1.7617810972492025, 2.0701154535996564, 2.5304940106225824)	(1.8566579290165617, 2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
1.700196482341518	12.0	21.0	1.0	8.0	1.8566579290165617	1.723187410913249	2.3371973193219735	(1.8260198191216417, 1.8972811278271262, 2.1630567781156476, 2.0834079423012426, 1.7617810972492025, 2.0701154535996564, 2.5304940106225824, 1.723187410913249)	(2.191013325573862, 2.22571555922384, 2.2940402762493983, 2.321534468138255, 2.417565429651042, 2.4755410757045047, 2.544917538119152, 2.739477367262767, 2.783157229866379, 2.8082863696499216, 2.819164470485216, 2.8726029962097313, 2.9046982826447953, 2.962470535651289, 3.062073169872812, 3.0817177928085617, 3.2474605014181677, 3.2830719131092208, 3.358840820050053, 3.488904711857631, 3.4941208425080457, 3.5247833036513563, 3.540343406470046, 3.7293214395497998, 3.8341275186854467)
